PedidoID,ProductoID,Cantidad,distancia_km,Caducidad,Urgencia_3_Combinada_60_40
1,5,80,455.56,3,0.40500866278154035
1,28,10,455.56,12,0.2550086627815404
1,29,60,455.56,30,0.2250086627815404
1,3,10,455.56,21,0.23358009135296898
1,38,10,455.56,9,0.27167532944820705
1,44,90,455.56,21,0.23358009135296898
1,40,10,455.56,12,0.2550086627815404
1,13,10,455.56,30,0.2250086627815404
1,1,80,455.56,9,0.27167532944820705
1,29,10,455.56,30,0.2250086627815404
1,8,50,455.56,12,0.2550086627815404
1,23,50,455.56,18,0.23834199611487372
1,11,30,455.56,21,0.23358009135296898
1,12,70,455.56,15,0.2450086627815404
1,50,20,455.56,9,0.27167532944820705
1,33,70,455.56,24,0.2300086627815404
1,19,90,455.56,21,0.23358009135296898
1,16,20,455.56,12,0.2550086627815404
1,6,80,455.56,18,0.23834199611487372
2,34,20,830.4,24,0.3986921449947124
2,32,100,830.4,18,0.4070254783280457
2,20,60,830.4,3,0.5736921449947123
2,19,50,830.4,21,0.40226357356614095
2,34,50,830.4,24,0.3986921449947124
2,3,60,830.4,21,0.40226357356614095
2,43,40,830.4,3,0.5736921449947123
2,3,90,830.4,21,0.40226357356614095
2,48,100,830.4,9,0.440358811661379
2,1,10,830.4,9,0.440358811661379
2,38,100,830.4,9,0.440358811661379
2,42,40,830.4,30,0.3936921449947124
2,48,50,830.4,9,0.440358811661379
2,22,30,830.4,24,0.3986921449947124
2,39,80,830.4,30,0.3936921449947124
2,16,30,830.4,12,0.42369214499471236
2,13,40,830.4,30,0.3936921449947124
2,19,40,830.4,21,0.40226357356614095
2,21,30,830.4,6,0.47369214499471235
4,21,40,242.85,6,0.20928605179668336
4,47,40,242.85,21,0.13785748036811196
4,50,50,242.85,9,0.17595271846335003
4,29,30,242.85,30,0.12928605179668337
4,1,80,242.85,9,0.17595271846335003
4,2,80,242.85,27,0.1315082740189056
4,3,10,242.85,21,0.13785748036811196
4,44,90,242.85,21,0.13785748036811196
4,41,90,242.85,18,0.1426193851300167
4,7,80,242.85,12,0.15928605179668337
4,38,50,242.85,9,0.17595271846335003
4,37,20,242.85,9,0.17595271846335003
4,30,10,242.85,21,0.13785748036811196
4,16,30,242.85,12,0.15928605179668337
4,17,50,242.85,30,0.12928605179668337
4,5,20,242.85,3,0.30928605179668334
4,7,60,242.85,12,0.15928605179668337
4,26,60,242.85,3,0.30928605179668334
4,17,60,242.85,30,0.12928605179668337
5,36,20,825.56,15,0.4115140742074117
5,15,10,825.56,12,0.4215140742074117
5,18,40,825.56,6,0.4715140742074117
5,5,50,825.56,3,0.5715140742074117
5,1,40,825.56,9,0.4381807408740784
5,3,70,825.56,21,0.4000855027788403
5,22,20,825.56,24,0.39651407420741175
5,19,90,825.56,21,0.4000855027788403
5,22,50,825.56,24,0.39651407420741175
5,44,50,825.56,21,0.4000855027788403
5,41,80,825.56,18,0.40484740754074505
5,2,10,825.56,27,0.3937362964296339
5,1,100,825.56,9,0.4381807408740784
5,34,50,825.56,24,0.39651407420741175
5,32,90,825.56,18,0.40484740754074505
5,42,100,825.56,30,0.39151407420741174
5,42,10,825.56,30,0.39151407420741174
5,9,50,825.56,6,0.4715140742074117
5,26,20,825.56,3,0.5715140742074117
5,40,40,825.56,12,0.4215140742074117
6,34,30,821.5,24,0.39468701482798196
6,31,40,821.5,24,0.39468701482798196
6,40,90,821.5,12,0.41968701482798193
6,48,40,821.5,9,0.4363536814946486
6,10,60,821.5,15,0.4096870148279819
6,4,20,821.5,3,0.5696870148279819
6,14,20,821.5,6,0.4696870148279819
6,2,90,821.5,27,0.39190923705020414
6,30,60,821.5,21,0.3982584433994105
6,12,90,821.5,15,0.4096870148279819
6,40,80,821.5,12,0.41968701482798193
6,33,30,821.5,24,0.39468701482798196
6,28,30,821.5,12,0.41968701482798193
6,30,30,821.5,21,0.3982584433994105
6,17,70,821.5,30,0.38968701482798196
6,29,30,821.5,30,0.38968701482798196
6,37,60,821.5,9,0.4363536814946486
6,44,70,821.5,21,0.3982584433994105
8,24,100,561.34,21,0.2811826384357492
8,38,20,561.34,9,0.31927787653098727
8,16,20,561.34,12,0.3026112098643206
8,50,20,561.34,9,0.31927787653098727
8,28,50,561.34,12,0.3026112098643206
8,20,90,561.34,3,0.4526112098643206
8,4,40,561.34,3,0.4526112098643206
8,33,80,561.34,24,0.27761120986432064
8,18,10,561.34,6,0.3526112098643206
8,42,40,561.34,30,0.27261120986432064
8,11,50,561.34,21,0.2811826384357492
8,9,100,561.34,6,0.3526112098643206
8,13,40,561.34,30,0.27261120986432064
8,18,100,561.34,6,0.3526112098643206
8,25,90,561.34,15,0.2926112098643206
8,43,80,561.34,3,0.4526112098643206
8,2,60,561.34,27,0.2748334320865428
8,32,10,561.34,18,0.28594454319765394
8,20,30,561.34,3,0.4526112098643206
8,39,70,561.34,30,0.27261120986432064
9,26,90,159.69,3,0.27186283554215507
9,3,90,159.69,21,0.10043426411358368
9,35,100,159.69,18,0.10519616887548844
9,50,60,159.69,9,0.13852950220882176
9,39,40,159.69,30,0.09186283554215512
9,21,30,159.69,6,0.1718628355421551
9,16,30,159.69,12,0.1218628355421551
9,50,90,159.69,9,0.13852950220882176
9,37,80,159.69,9,0.13852950220882176
9,12,60,159.69,15,0.11186283554215512
9,31,70,159.69,24,0.0968628355421551
9,24,100,159.69,21,0.10043426411358368
9,21,80,159.69,6,0.1718628355421551
9,39,100,159.69,30,0.09186283554215512
9,35,50,159.69,18,0.10519616887548844
9,36,10,159.69,15,0.11186283554215512
